시도,시군구,읍면동,name,full_name
11000,11010,1101053,사직동,서울특별시 종로구 사직동
11000,11010,1101054,삼청동,서울특별시 종로구 삼청동
11000,11010,1101055,부암동,서울특별시 종로구 부암동
11000,11010,1101056,평창동,서울특별시 종로구 평창동
11000,11010,1101057,무악동,서울특별시 종로구 무악동
11000,11010,1101058,교남동,서울특별시 종로구 교남동
11000,11010,1101060,가회동,서울특별시 종로구 가회동
11000,11010,1101061,종로1·2·3·4가동,서울특별시 종로구 종로1·2·3·4가동
11000,11010,1101063,종로5·6가동,서울특별시 종로구 종로5·6가동
11000,11010,1101064,이화동,서울특별시 종로구 이화동
11000,11010,1101067,창신1동,서울특별시 종로구 창신1동
11000,11010,1101068,창신2동,서울특별시 종로구 창신2동
11000,11010,1101069,창신3동,서울특별시 종로구 창신3동
11000,11010,1101070,숭인1동,서울특별시 종로구 숭인1동
11000,11010,1101071,숭인2동,서울특별시 종로구 숭인2동
11000,11010,1101072,청운효자동,서울특별시 종로구 청운효자동
11000,11010,1101073,혜화동,서울특별시 종로구 혜화동
11000,11020,1102052,소공동,서울특별시 중구 소공동
11000,11020,1102054,회현동,서울특별시 중구 회현동
11000,11020,1102055,명동,서울특별시 중구 명동
11000,11020,1102057,필동,서울특별시 중구 필동
11000,11020,1102058,장충동,서울특별시 중구 장충동
11000,11020,1102059,광희동,서울특별시 중구 광희동
11000,11020,1102060,을지로동,서울특별시 중구 을지로동
11000,11020,1102065,신당5동,서울특별시 중구 신당5동
11000,11020,1102067,황학동,서울특별시 중구 황학동
11000,11020,1102068,중림동,서울특별시 중구 중림동
11000,11020,1102069,신당동,서울특별시 중구 신당동
11000,11020,1102070,다산동,서울특별시 중구 다산동
11000,11020,1102071,약수동,서울특별시 중구 약수동
11000,11020,1102072,청구동,서울특별시 중구 청구동
11000,11020,1102073,동화동,서울특별시 중구 동화동
11000,11030,1103051,후암동,서울특별시 용산구 후암동
11000,11030,1103052,용산2가동,서울특별시 용산구 용산2가동
11000,11030,1103053,남영동,서울특별시 용산구 남영동
11000,11030,1103057,원효로2동,서울특별시 용산구 원효로2동
11000,11030,1103058,효창동,서울특별시 용산구 효창동
11000,11030,1103059,용문동,서울특별시 용산구 용문동
11000,11030,1103063,이촌1동,서울특별시 용산구 이촌1동
11000,11030,1103064,이촌2동,서울특별시 용산구 이촌2동
11000,11030,1103065,이태원1동,서울특별시 용산구 이태원1동
11000,11030,1103066,이태원2동,서울특별시 용산구 이태원2동
11000,11030,1103069,서빙고동,서울특별시 용산구 서빙고동
11000,11030,1103070,보광동,서울특별시 용산구 보광동
11000,11030,1103071,청파동,서울특별시 용산구 청파동
11000,11030,1103072,원효로1동,서울특별시 용산구 원효로1동
11000,11030,1103073,한강로동,서울특별시 용산구 한강로동
11000,11030,1103074,한남동,서울특별시 용산구 한남동
11000,11040,1104052,왕십리2동,서울특별시 성동구 왕십리2동
11000,11040,1104054,마장동,서울특별시 성동구 마장동
11000,11040,1104055,사근동,서울특별시 성동구 사근동
11000,11040,1104056,행당1동,서울특별시 성동구 행당1동
11000,11040,1104057,행당2동,서울특별시 성동구 행당2동
11000,11040,1104058,응봉동,서울특별시 성동구 응봉동
11000,11040,1104059,금호1가동,서울특별시 성동구 금호1가동
11000,11040,1104062,금호4가동,서울특별시 성동구 금호4가동
11000,11040,1104065,성수1가1동,서울특별시 성동구 성수1가1동
11000,11040,1104066,성수1가2동,서울특별시 성동구 성수1가2동
11000,11040,1104067,성수2가1동,서울특별시 성동구 성수2가1동
11000,11040,1104068,성수2가3동,서울특별시 성동구 성수2가3동
11000,11040,1104069,송정동,서울특별시 성동구 송정동
11000,11040,1104070,용답동,서울특별시 성동구 용답동
11000,11040,1104071,왕십리도선동,서울특별시 성동구 왕십리도선동
11000,11040,1104072,금호2·3가동,서울특별시 성동구 금호2·3가동
11000,11040,1104073,옥수동,서울특별시 성동구 옥수동
11000,11050,1105053,화양동,서울특별시 광진구 화양동
11000,11050,1105054,군자동,서울특별시 광진구 군자동
11000,11050,1105055,중곡1동,서울특별시 광진구 중곡1동
11000,11050,1105056,중곡2동,서울특별시 광진구 중곡2동
11000,11050,1105057,중곡3동,서울특별시 광진구 중곡3동
11000,11050,1105058,중곡4동,서울특별시 광진구 중곡4동
11000,11050,1105059,능동,서울특별시 광진구 능동
11000,11050,1105060,구의1동,서울특별시 광진구 구의1동
11000,11050,1105061,구의2동,서울특별시 광진구 구의2동
11000,11050,1105062,구의3동,서울특별시 광진구 구의3동
11000,11050,1105063,광장동,서울특별시 광진구 광장동
11000,11050,1105064,자양1동,서울특별시 광진구 자양1동
11000,11050,1105065,자양2동,서울특별시 광진구 자양2동
11000,11050,1105066,자양3동,서울특별시 광진구 자양3동
11000,11050,1105067,자양4동,서울특별시 광진구 자양4동
11000,11060,1106071,회기동,서울특별시 동대문구 회기동
11000,11060,1106072,휘경1동,서울특별시 동대문구 휘경1동
11000,11060,1106073,휘경2동,서울특별시 동대문구 휘경2동
11000,11060,1106080,청량리동,서울특별시 동대문구 청량리동
11000,11060,1106081,용신동,서울특별시 동대문구 용신동
11000,11060,1106082,제기동,서울특별시 동대문구 제기동
11000,11060,1106083,전농1동,서울특별시 동대문구 전농1동
11000,11060,1106084,전농2동,서울특별시 동대문구 전농2동
11000,11060,1106086,답십리2동,서울특별시 동대문구 답십리2동
11000,11060,1106087,장안1동,서울특별시 동대문구 장안1동
11000,11060,1106088,장안2동,서울특별시 동대문구 장안2동
11000,11060,1106089,이문1동,서울특별시 동대문구 이문1동
11000,11060,1106090,이문2동,서울특별시 동대문구 이문2동
11000,11060,1106091,답십리1동,서울특별시 동대문구 답십리1동
11000,11070,1107052,면목2동,서울특별시 중랑구 면목2동
11000,11070,1107054,면목4동,서울특별시 중랑구 면목4동
11000,11070,1107055,면목5동,서울특별시 중랑구 면목5동
11000,11070,1107057,면목7동,서울특별시 중랑구 면목7동
11000,11070,1107059,상봉1동,서울특별시 중랑구 상봉1동
11000,11070,1107060,상봉2동,서울특별시 중랑구 상봉2동
11000,11070,1107061,중화1동,서울특별시 중랑구 중화1동
11000,11070,1107062,중화2동,서울특별시 중랑구 중화2동
11000,11070,1107064,묵1동,서울특별시 중랑구 묵1동
11000,11070,1107065,묵2동,서울특별시 중랑구 묵2동
11000,11070,1107068,망우3동,서울특별시 중랑구 망우3동
11000,11070,1107069,신내1동,서울특별시 중랑구 신내1동
11000,11070,1107070,신내2동,서울특별시 중랑구 신내2동
11000,11070,1107071,면목본동,서울특별시 중랑구 면목본동
11000,11070,1107072,면목3·8동,서울특별시 중랑구 면목3·8동
11000,11070,1107073,망우본동,서울특별시 중랑구 망우본동
11000,11080,1108058,돈암1동,서울특별시 성북구 돈암1동
11000,11080,1108059,돈암2동,서울특별시 성북구 돈암2동
11000,11080,1108060,안암동,서울특별시 성북구 안암동
11000,11080,1108061,보문동,서울특별시 성북구 보문동
11000,11080,1108062,정릉1동,서울특별시 성북구 정릉1동
11000,11080,1108063,정릉2동,서울특별시 성북구 정릉2동
11000,11080,1108064,정릉3동,서울특별시 성북구 정릉3동
11000,11080,1108065,정릉4동,서울특별시 성북구 정릉4동
11000,11080,1108066,길음1동,서울특별시 성북구 길음1동
11000,11080,1108068,길음2동,서울특별시 성북구 길음2동
11000,11080,1108071,월곡1동,서울특별시 성북구 월곡1동
11000,11080,1108072,월곡2동,서울특별시 성북구 월곡2동
11000,11080,1108076,장위1동,서울특별시 성북구 장위1동
11000,11080,1108077,장위2동,서울특별시 성북구 장위2동
11000,11080,1108078,장위3동,서울특별시 성북구 장위3동
11000,11080,1108081,성북동,서울특별시 성북구 성북동
11000,11080,1108082,삼선동,서울특별시 성북구 삼선동
11000,11080,1108083,동선동,서울특별시 성북구 동선동
11000,11080,1108084,종암동,서울특별시 성북구 종암동
11000,11080,1108085,석관동,서울특별시 성북구 석관동
11000,11090,1109060,번1동,서울특별시 강북구 번1동
11000,11090,1109061,번2동,서울특별시 강북구 번2동
11000,11090,1109062,번3동,서울특별시 강북구 번3동
11000,11090,1109063,수유1동,서울특별시 강북구 수유1동
11000,11090,1109064,수유2동,서울특별시 강북구 수유2동
11000,11090,1109065,수유3동,서울특별시 강북구 수유3동
11000,11090,1109069,삼양동,서울특별시 강북구 삼양동
11000,11090,1109070,미아동,서울특별시 강북구 미아동
11000,11090,1109071,송중동,서울특별시 강북구 송중동
11000,11090,1109072,송천동,서울특별시 강북구 송천동
11000,11090,1109073,삼각산동,서울특별시 강북구 삼각산동
11000,11090,1109074,우이동,서울특별시 강북구 우이동
11000,11090,1109075,인수동,서울특별시 강북구 인수동
11000,11100,1110051,쌍문1동,서울특별시 도봉구 쌍문1동
11000,11100,1110052,쌍문2동,서울특별시 도봉구 쌍문2동
11000,11100,1110053,쌍문3동,서울특별시 도봉구 쌍문3동
11000,11100,1110054,쌍문4동,서울특별시 도봉구 쌍문4동
11000,11100,1110055,방학1동,서울특별시 도봉구 방학1동
11000,11100,1110056,방학2동,서울특별시 도봉구 방학2동
11000,11100,1110057,방학3동,서울특별시 도봉구 방학3동
11000,11100,1110059,창1동,서울특별시 도봉구 창1동
11000,11100,1110060,창2동,서울특별시 도봉구 창2동
11000,11100,1110061,창3동,서울특별시 도봉구 창3동
11000,11100,1110062,창4동,서울특별시 도봉구 창4동
11000,11100,1110063,창5동,서울특별시 도봉구 창5동
11000,11100,1110064,도봉1동,서울특별시 도봉구 도봉1동
11000,11100,1110065,도봉2동,서울특별시 도봉구 도봉2동
11000,11110,1111051,월계1동,서울특별시 노원구 월계1동
11000,11110,1111052,월계2동,서울특별시 노원구 월계2동
11000,11110,1111053,월계3동,서울특별시 노원구 월계3동
11000,11110,1111056,공릉2동,서울특별시 노원구 공릉2동
11000,11110,1111058,하계1동,서울특별시 노원구 하계1동
11000,11110,1111059,하계2동,서울특별시 노원구 하계2동
11000,11110,1111060,중계본동,서울특별시 노원구 중계본동
11000,11110,1111061,중계1동,서울특별시 노원구 중계1동
11000,11110,1111064,중계4동,서울특별시 노원구 중계4동
11000,11110,1111065,상계1동,서울특별시 노원구 상계1동
11000,11110,1111066,상계2동,서울특별시 노원구 상계2동
11000,11110,1111069,상계5동,서울특별시 노원구 상계5동
